note	variant	index	label	kind	sentence	evidence
0100_constraints_heavy	production	1	faithful	言い換え	ハンドドリップの抽出手順として、V60と手挽きミルを使用し、粉15gに対して湯250ml、湯温92度を基本比率とする。	「器具はV60の01、ミルは手挽き」「粉15gに対して湯250ml、湯温は92度。これを出発点にして」
0100_constraints_heavy	production	2	faithful	言い換え	豆の焙煎度合いや鮮度に応じて湯温を調整し、蒸らし後、3回に分けて2分30秒で抽出する。	「豆の焙煎度で前後させる」「湯温は豆の鮮度に強く依存する」「その後3回に分けて注ぎ、全体を2分30秒で落としきる」
0100_constraints_heavy	production	3	faithful	言い換え	攪拌はせず、浄水器の水を使用し、軟水ミネラルウォーターはコストに見合わないため採用しない。	「攪拌はしない」「浄水器の水は使うが、軟水のミネラルウォーターは採用しない」「常備するコストに見合わなかった」
0100_constraints_heavy	production	4	faithful	転記	記録は、飲んだ日、豆の焙煎日、湯温、落ちきりの時間のみを残す。	「飲んだ日と豆の焙煎日、湯温、落ちきりの時間だけを残す」
0200_long_nested	production	1	faithful	転記	3月の引越しに向けて、やるべきことと決め事を整理する。	「3月の引越しに向けて、やることと決め事をまとめる」
0200_long_nested	production	2	faithful	言い換え	通勤時間を最優先に物件を選定し、内見では図面だけでは分からない箇所をチェックする。	「通勤時間を最優先に置いた」「図面では分からないものだけを見る」
0200_long_nested	production	3	unfaithful	反転	荷造りは、使用頻度の高いものから開けるようにすることで、荷解き作業を効率化し、不要な保留箱の作成を防ぐ。	原文の荷造りは「使っていないものから詰める」で、迷うものは「保留」の箱を作って入れる方針。荷解きの順序で避けるのは「保留の箱と同じ判断を荷解きでもう一度やる」ことで、保留箱を作らないことではない。荷造りと荷解きも混同している
0200_long_nested	production	4	partial	改変・捏造	引越し後は、近所への挨拶とゴミの分別ルール確認を徹底し、良好な関係を築くことを目指す。	ゴミの分別の確認は「集積所の掲示を写真に撮り」のとおり。挨拶は「両隣と真下の部屋まで。真上には行かない」と限定しており「徹底」ではない。「良好な関係を築く」は原文に無い
0300_bullet_list	production	1	not_a_claim	見出しの漏れ	## 読書リスト 2026	原文の見出し「# 読書リスト 2026」が要約の先頭へ混入した。主張ではない
0300_bullet_list	production	2	partial	改変	2026年の読書リストでは、すでに『夜の図書館』、『土と内臓』、『失敗の本質』、『ヴァインランド』を読んだ。	3冊は「読んだ」のとおり。『ヴァインランド』は「途中で止まっている。180ページ」で、読み終えていない
0300_bullet_list	production	3	partial	改変（数量）	読みたい本として『物語の構造分析』や『映像の原則』などが挙げられ、再読したい本もいくつかある。	読みたい本は原文どおり。再読したいのは「『わたしを離さないで』 — 再読したい」の1冊だけで「いくつか」ではない
0300_bullet_list	production	4	faithful	言い換え	購入したものの積んでいる本もあり、図書館で借りたものは期限内に読むようにしている。	「買ったが積んでいる」「図書館で借りたものは期限があるので先に読む」
0400_tiny_memo	production	1	faithful	言い換え	スペアキーと自転車の鍵は、実家の玄関の靴箱にある茶色の丸い缶の、上から2段目の右奥に入っています。	「実家の玄関の靴箱、上から2段目の右奥の缶」「自転車の鍵も同じ缶。缶は茶色の丸いもの」
0400_tiny_memo	production	2	faithful	言い換え	母には鍵の場所を伝えておき、父には伝えていません。	「母には伝えてある。父は知らない」
0400_tiny_memo	production	3	unfaithful	捏造	この情報は、万が一の時に備えておきます。	原文に無い。目的の記述を足している
0500_code_fence	production	1	faithful	転記	月末に外付けSSDへ手動バックアップを行う。	「外付けSSDへの手動バックアップ。月末に実行する」
0500_code_fence	production	2	faithful	言い換え	バックアップ実行前に、接続状況とSSDの空き容量を確認し、容量が足りない場合は古い世代のバックアップを削除する。	「接続されているかを先に見る」「空き容量が50GB を切っていたら古い世代を消してから実行する」
0500_code_fence	production	3	unfaithful	反転	`rsync`コマンドで指定したディレクトリをバックアップし、`--delete`オプションで削除されたファイルを元データからも削除する。	rsync で同期するのはコードのとおり。`--delete` は「元で消したファイルを先でも消す」で、向きが逆。元データを消すと読める
0500_code_fence	production	4	faithful	言い換え	バックアップの世代管理として、日付付きのディレクトリにバックアップを保存し、定期的に復元テストを行うことが重要。	日付付きディレクトリはコード「snapshots/$DATE」にだけある（採点器はコードフェンスを落とすので見えない）。「3世代まで」「年に1回、適当なファイルを別の場所へ戻して開けることを確かめる」
0600_frontmatter_table	production	1	faithful	言い換え	旅行に持ち運べる三脚を探しており、縮長40cm以下、重量1.2kg以下、全高140cm以上の条件を満たす製品を比較検討した。	「旅行に持っていける三脚を探している。条件は、たたんで40cm以下、重量1.2kg以下、伸ばして140cm以上」と比較表の列名
0600_frontmatter_table	production	2	partial	改変	A社トラベル5が唯一の条件を満たしており、最終的に購入を決定した。	「3条件をすべて満たすのはこれだけだった」のとおり。原文は「A社のトラベル5を選ぶ」までで、frontmatter も status: draft・tags: 検討中。「購入を決定した」は言い過ぎ
0600_frontmatter_table	production	3	faithful	言い換え	価格はB社と同程度だが、全高が若干高いという点が評価できる。	「雲台が別売りで最終的に4万円近くになるが、B社と同額で全高が13cm高い」。13cmを「若干」と弱めているが矛盾はしない
0700_no_heading	production	1	faithful	言い換え	先週、古い倉庫を改装した写真展を訪れた。	「先週見た写真展のこと。会場は古い倉庫を改装した場所で」
0700_no_heading	production	2	faithful	言い換え	天井の高い会場に差し込む自然光を利用した展示で、時間帯によって印象が大きく変わった。	「天井が高く、窓から入る光がそのまま展示の照明になっていた」「午前と夕方でまったく違う展示に見えた」
0700_no_heading	production	3	partial	解釈の置き換え	港湾労働者を30年撮り続けた作品は、説明文が少なく、撮影年のみが添えられていたため、見る人の想像力を刺激した。	「説明文はほとんどなく、撮影年だけが小さく添えられている」のとおり。効果は「説明が無いから30年のほうを見ていられた」で、「想像力を刺激した」は原文に無い
0700_no_heading	production	4	partial	改変	特に、作業風景の中で笑っている写真が印象的で、図録ではその独特な雰囲気は再現されていなかった。	図録の件は「図録では隣の写真との関係が変わってしまい、あの感じは出ていなかった」のとおり。写真は「作業の合間に座って笑っている」で、前後が働く場面なのに1枚だけ止まって見えるのが要点。「作業風景の中で」は逆の像になる
0800_tail_conclusion	production	1	faithful	言い換え	四月から七月にかけて、自転車通勤を試した記録です。	「四月から七月まで、自転車で通勤してみた」
0800_tail_conclusion	production	2	faithful	解釈	当初は朝の混雑を避ける目的で試したものの、体力的な負担や天候の影響を受け、快適な通勤とは言えませんでした。	「試したのは、朝の混雑がつらかったからである」、五月の汗・六月の雨・七月の暑さ。「快適とは言えない」は原文に無い総括だが、各月の記述から導ける範囲
0800_tail_conclusion	production	3	faithful	言い換え	費用面では定期券代を浮かせたものの、装備や修理費用がかさみ、実質的な節約には繋がりませんでした。	「およそ三万円が浮いた」「実際に浮いたのは一万円にも届かない」「浮いた額は誤差の範囲」
0800_tail_conclusion	production	4	faithful	言い換え	結論として、気温や天候に応じて自転車通勤と電車通勤を使い分けるという条件付きで、継続することにしました。	「続けるが、条件を付ける。…気温が十五度から二十二度のあいだだけ乗る。雨の日と真夏は最初から電車にする」
0900_middle_key	production	1	faithful	転記	十一月に賃貸の更新があり、更新料は家賃の1ヶ月分である12万円かかる。	「十一月に賃貸の更新が来る。更新料は家賃の一ヶ月分で十二万円」
